,genre_id,genre_group
281,folk rock,delete
282,mellow gold,delete
283,piano rock,delete
284,roots rock,delete
285,soft rock,rock
286,southern rock,rock
287,swamp rock,rock
288,arkansas country,country
289,rock-and-roll,rock
290,oklahoma country,country
291,classical bass,delete
292,radio symphony,delete
293,classical baritone,delete
294,carnatic,delete
295,bubblegum pop,pop
296,disco,disco
297,quiet storm,delete
298,yacht rock,delete
299,deep indian pop,delete
300,harmonica blues,blues
301,victorian britain,delete
302,vintage finnish jazz,delete
303,hollywood,delete
304,edm,edm
305,progressive house,edm
306,progressive trance,edm
307,progressive trance house,edm
308,trance,edm
309,uplifting trance,edm
310,art rock,delete
311,melancholia,delete
312,new romantic,pop
313,new wave,pop
314,scottish new wave,delete
315,sophisti-pop,pop
316,synthpop,pop
317,otacore,delete
318,modern swing,delete
319,c-pop,asian pop
320,vintage chinese pop,asian pop
321,mento,delete
322,music hall,delete
323,czech classical,delete
324,opera chorus,delete
325,mollywood,delete
326,cello,delete
327,cha-cha-cha,ballroom
328,cuban rumba,ballroom
329,latin jazz,ballroom
330,mambo,ballroom
331,modern bollywood,delete
332,french baroque,delete
333,latin american classical piano,delete
334,comic,delete
335,bansuri,delete
336,classic pakistani pop,delete
337,new age piano,delete
338,flamenco,ballroom
339,rumba,ballroom
340,classic schlager,delete
341,rabindra sangeet,delete
342,italian adult pop,delete
343,ye ye,delete
344,jazz violin,jazz
345,spytrack,delete
346,funk,funk
347,motown,rnb
348,german classical piano,delete
349,bangla,delete
350,chutney,delete
351,cook islands pop,delete
352,oud,delete
353,syrian pop,delete
354,sleep,delete
355,pakistani pop,delete
356,free jazz,jazz
357,austrian classical piano,delete
358,finnish classical,delete
359,gujarati garba,delete
360,italian mezzo-soprano,delete
361,classical soprano,delete
362,italian soprano,delete
363,italian bass,delete
364,canzone genovese,delete
365,czech classical piano,delete
366,klezmer,delete
367,russian folk,folk
368,dhrupad,delete
369,indian instrumental,delete
370,danish classical,delete
371,tamil worship,delete
372,norwegian classical,delete
373,swiss classical piano,delete
374,austrian choir,delete
375,theme,delete
376,violao,delete
377,tamil pop,delete
378,sambass,delete
379,bluegrass fiddle,delete
380,italian baroque,delete
381,a cappella,delete
382,british soundtrack,delete
383,scorecore,delete
384,soundtrack,delete
385,spanish rockabilly,delete
386,vintage taiwan pop,delete
387,operatic pop,delete
388,ballroom,ballroom
389,arab pop,delete
390,lebanese pop,delete
391,nuevo tango,ballroom
392,english baroque,delete
393,theremin,delete
394,library music,delete
395,rockabilly,delete
396,polka,ballroom
397,country dawn,country
398,country road,country
399,redneck,country
400,deep contemporary country,country
401,rock,rock
402,honky tonk,rock
403,italian orchestra,delete
404,classic mandopop,delete
405,finnish contemporary classical,delete
406,nordic contemporary classical,delete
407,historic string quartet,classical
408,soul blues,blues
409,carnatic instrumental,delete
410,bolero,delete
411,bolero mexicano,delete
412,gospel antigas,gospel
413,chanson,delete
414,classic peruvian pop,delete
415,hindustani instrumental,delete
416,tabla,delete
417,japanese classical performance,delete
418,early avant garde,delete
419,novelty,delete
420,mariachi,delete
421,ranchera,delete
422,mexican rock-and-roll,delete
423,art song,delete
424,contemporary country,country
425,modern country rock,country
426,lilith,delete
427,austro-german modernism,delete
428,jazz funk,funk
429,latin pop,latin
430,opm,delete
431,classic opm,delete
432,tagalog worship,delete
433,regional mexican,delete
434,georgian folk,folk
435,drama,delete
436,adventista,delete
437,ethnomusicology,delete
438,poetry,delete
439,bossa nova,jazz
440,samba-jazz,jazz
441,avant-garde jazz,jazz
442,classic girl group,pop
443,doo-wop,delete
444,kentucky mountain folk,folk
445,mountain dulcimer,delete
446,string folk,folk
447,smooth jazz,jazz
448,canadian classical piano,delete
449,canadian contemporary r&b,rnb
450,jazz vibraphone,jazz
451,spanish classical piano,delete
452,turkce drill,delete
453,haitian traditional,delete
454,japanese jazz,delete
455,classical clarinet,delete
456,free improvisation,delete
457,norwegian contemporary jazz,delete
458,norwegian jazz,delete
459,american choir,delete
460,shanty,delete
461,pop romantico,delete
462,swedish jazz,delete
463,contemporary vocal jazz,jazz
464,jazz brass,jazz
465,protest folk,folk
466,jazz flute,jazz
467,jazz double bass,jazz
468,animal singing,delete
469,electric bass,delete
470,rhythm and blues,rnb
471,neo-rockabilly,delete
472,deep groove house,edm
473,cumbia,delete
474,salsa,ballroom
475,tropical,delete
476,latin,latin
477,christmas instrumental,delete
478,chicago soul,soul
479,sunshine pop,pop
480,mgp,delete
481,bolero cubano,delete
482,charanga,delete
483,merseybeat,delete
484,surf music,delete
485,afrofuturism,delete
486,fourth world,delete
487,spiritual jazz,jazz
488,lds,delete
489,beat poetry,delete
490,children's music,delete
491,album rock,rock
492,british invasion,delete
493,flute rock,delete
494,hard rock,rock
495,progressive rock,rock
496,symphonic rock,rock
497,mexican classic rock,delete
498,rockabilly en espanol,delete
499,mexican traditional,delete
500,gospel singers,gospel
501,gospel soul,gospel
502,outsider,delete
503,cancion melodica,delete
504,desi hip hop,delete
505,galante era,delete
506,bmore,delete
507,choral,delete
508,hammond organ,delete
509,jazz organ,delete
510,french pop,delete
511,french rock,delete
512,bomba y plena,delete
513,puerto rican folk,folk
514,salsa international,ballroom
515,beach music,delete
516,philly soul,soul
517,instrumental funk,funk
518,instrumental soul,soul
519,northern soul,soul
520,halloween,delete
521,baroque pop,delete
522,boogaloo,delete
523,europop,pop
524,ukulele,delete
525,carnatic vocal,delete
526,beatlesque,rock
527,british blues,blues
528,brazilian jazz,delete
529,straight-ahead jazz,jazz
530,freak folk,folk
531,brazilian classical,delete
532,mpb,delete
533,pops orchestra,delete
534,cosmic american,delete
535,manguebeat,delete
536,koto,delete
537,samba-rock,delete
538,tropicalia,delete
539,classic garage rock,rock
540,protopunk,rock
541,glam rock,rock
542,new americana,rock
543,disney,delete
544,jovem guarda,delete
545,salsa puertorriquena,delete
546,romantico,delete
547,british folk,folk
548,psychedelic folk,folk
549,scottish singer-songwriter,delete
550,souldies,delete
551,freakbeat,delete
552,garage rock,rock
553,punk blues,delete
554,australian rock,delete
555,piano mpb,delete
556,canadian pop,pop
557,canadian singer-songwriter,delete
558,italian jazz,delete
559,supergroup,delete
560,italian soundtrack,delete
561,vintage italian soundtrack,delete
562,acid rock,rock
563,chicano punk,rock
564,detroit rock,rock
565,psychedelic folk rock,rock
566,art pop,pop
567,post-punk,rock
568,alternative rock,rock
569,permanent wave,delete
570,jam band,delete
571,heartland rock,rock
572,reggae,caribbean
573,rock steady,rock
574,ska,ska
575,ska revival,ska
576,experimental rock,rock
577,zolo,delete
578,underground power pop,pop
579,nederpop,delete
580,dub,caribbean
581,lovers rock,rock
582,musica yucateca,delete
583,pub rock,rock
584,classic canadian rock,rock
585,funk rock,rock
586,psychedelic soul,soul
587,metal,hardcore_rock
588,afrobeat,delete
589,jazz harp,delete
590,jazz rock,delete
591,cantautor,delete
592,neo soul,soul
593,neo-psychedelic,delete
594,double drumming,delete
595,roots reggae,caribbean
596,new orleans funk,funk
597,alternative country,country
598,ambient folk,folk
599,indie folk,folk
600,native american,delete
601,swamp blues,blues
602,swamp pop,delete
603,instrumental rock,rock
604,chanson paillarde,delete
605,afropop,delete
606,ethio-jazz,jazz
607,world,delete
608,classic hungarian pop,delete
609,classic hungarian rock,delete
610,rock nacional,delete
611,trova,delete
612,birmingham metal,hardcore_rock
613,stoner rock,rock
614,uk doom metal,hardcore_rock
615,canadian country,country
616,jangle pop,pop
617,power pop,pop
618,anti-folk,folk
619,new weird america,delete
620,corrido,delete
621,norteno,delete
622,p funk,funk
623,political hip hop,rap/hiphop
624,slam poetry,delete
625,glam metal,hardcore_rock
626,pop,pop
627,pop rock,rock
628,post-disco,disco
629,urban contemporary,delete
630,rock of gibraltar,delete
631,indie rock,rock
632,bow pop,delete
633,jamgrass,delete
634,dance-punk,delete
635,krautrock,delete
636,no wave,delete
637,space rock,rock
638,irish rock,delete
639,r&b,rnb
640,latin rock,delete
641,native american contemporary,delete
642,classic swedish pop,delete
643,swedish pop,delete
644,british choir,delete
645,rock drums,delete
646,dutch pop,delete
647,dutch prog,delete
648,dutch rock,delete
649,modern funk,funk
650,early us punk,rock
651,glam punk,rock
652,new jack swing,delete
653,canadian metal,hardcore_rock
654,rock keyboard,delete
655,psicodelia brasileira,delete
656,southern soul blues,blues
657,cambridge choir,delete
658,cathedral choir,delete
659,university choir,delete
660,cartoon,delete
661,anime score,delete
662,j-pop,asian pop
663,japanese folk,folk
664,japanese singer-songwriter,asian pop
665,african rock,delete
666,salsa colombiana,delete
667,roots americana,delete
668,classic japanese jazz,delete
669,ambient,delete
670,compositional ambient,delete
671,experimental ambient,delete
672,minimalism,delete
673,skate punk,rock
674,canadian children's music,delete
675,children's folk,folk
676,boston rock,rock
677,indie r&b,rnb
678,indie jazz,jazz
679,canadian psychedelic,delete
680,synthesizer,delete
681,modern reggae,caribbean
682,art punk,delete
683,girl group,pop
684,brit funk,funk
685,gothic rock,rock
686,uk post-punk,rock
687,garage psych,delete
688,post-hardcore,rock
689,punk 'n' roll,rock
690,reggae fusion,caribbean
691,australian dance,edm
692,candy pop,pop
693,synth funk,funk
694,minneapolis sound,delete
695,madchester,delete
696,synth punk,delete
697,tipico,delete
698,hi-nrg,delete
699,classic city pop,pop
700,japanese new wave,delete
701,shibuya-kei,delete
702,techno kayo,delete
703,dream pop,pop
704,latin alternative,delete
705,rock en espanol,delete
706,boogie,delete
707,disco house,disco
708,alternative metal,hardcore_rock
709,speed metal,hardcore_rock
710,bahamian pop,delete
711,canadian celtic,delete
712,popping,delete
713,riot grrrl,delete
714,early synthpop,pop
715,experimental pop,pop
716,power metal,hardcore_rock
717,khayal,delete
718,mod revival,delete
719,rock andaluz,delete
720,spanish new wave,delete
721,spanish pop,delete
722,german hard rock,delete
723,german metal,delete
724,german rock,delete
725,dark wave,delete
726,mexican pop,delete
727,mandolin,delete
728,australian alternative rock,delete
729,kiwi rock,delete
730,nwobhm,delete
731,sleaze rock,rock
732,surf punk,rock
733,ska punk,ska
734,thrash core,hardcore_rock
735,hip house,dance
736,new jersey rap,rap/hiphop
737,salsa venezolana,delete
738,chamber orchestra,delete
739,horror punk,rock
740,alternative pop,pop
741,gbvfi,delete
742,wyoming roots,delete
743,melodic hardcore,rock
744,new age,delete
745,bronx hip hop,rap/hiphop
746,instrumental surf,delete
747,black punk,rock
748,dc hardcore,rock
749,nyhc,delete
750,new mexico music,delete
751,deathrock,hardcore_rock
752,ethereal wave,delete
753,scottish rock,delete
754,uk reggae,caribbean
755,acoustic punk,delete
756,german pop,delete
757,old school thrash,hardcore_rock
758,thrash metal,hardcore_rock
759,argentine rock,delete
760,post-punk argentina,delete
761,ska argentino,ska
762,brazilian boogie,delete
763,crossover thrash,hardcore_rock
764,funk metal,hardcore_rock
765,nu metal,hardcore_rock
766,german heavy metal,delete
767,christian alternative rock,delete
768,christian music,delete
769,uk americana,delete
770,gothabilly,delete
771,psychobilly,delete
772,baroque ensemble,delete
773,historically informed performance,delete
774,harpsichord,delete
775,boy band,pop
776,swiss rock,delete
777,romanian classical piano,delete
778,french synthpop,delete
779,italian disco,disco
780,athens indie,delete
781,lo-fi,delete
782,death metal,hardcore_rock
783,grupera,delete
784,gruperas inmortales,delete
785,british soul,soul
786,freestyle,delete
787,environmental,delete
788,miami bass,delete
789,latin arena pop,delete
790,straight edge,delete
791,scottish indie,delete
792,shoegaze,rock
793,american contemporary classical,delete
794,drone,delete
795,meditation,delete
796,native american flute,delete
797,navajo,delete
798,classical flute,delete
799,spanish rock,delete
800,electro jazz,electro
801,noise pop,delete
802,nu gaze,delete
803,black comedy,delete
804,comedy,delete
805,musical advocacy,delete
806,rap metal,hardcore_rock
807,industrial,delete
808,industrial rock,rock
809,philly indie,indie
810,austropop,delete
811,neue deutsche welle,delete
812,proto-techno,edm
813,eurodance,edm
814,cowpunk,delete
815,melodic hard rock,rock
816,swedish hard rock,delete
817,swedish melodic rock,delete
818,japanese soundtrack,delete
819,paisley underground,delete
820,sacramento indie,indie
821,new jersey hardcore,rock
822,new jersey punk,rock
823,melodic thrash,hardcore_rock
824,neo classical metal,hardcore_rock
825,spanish pop rock,delete
826,cancion infantil mexicana,delete
827,musica para ninos,delete
828,musica nicaraguense,delete
829,bboy,delete
830,middle earth,delete
831,mexican rock,delete
832,rock urbano mexicano,delete
833,early music ensemble,delete
834,metal guitar,hardcore_rock
835,shred,rock
836,miami hip hop,rap/hiphop
837,modern rock,rock
838,women's music,delete
839,grunge,rock
840,wrestling,delete
841,noise rock,rock
842,harlem hip hop,rap/hiphop
843,nu-cumbia,delete
844,classic venezuelan pop,delete
845,musica llanera,delete
846,flamenco guitar,delete
847,toronto indie,indie
848,britpop,delete
849,progressive metal,hardcore_rock
850,us power metal,hardcore_rock
851,banda caliente,delete
852,musica potosina,delete
853,icelandic pop,delete
854,anime,delete
855,japanese classical,delete
856,musica aragonesa,delete
857,hungarian classical piano,delete
858,german soundtrack,delete
859,german power metal,delete
860,australian pop,pop
861,electropop,electro
862,cumbia lagunera,delete
863,cyberpunk,delete
864,electronic rock,rock
865,industrial metal,hardcore_rock
866,new beat,delete
867,kentucky roots,delete
868,classical trumpet,delete
869,new jersey indie,indie
870,socal pop punk,rock
871,anthem worship,delete
872,ccm,delete
873,worship,delete
874,hyphy,delete
875,oakland hip hop,rap/hiphop
876,groove metal,hardcore_rock
877,indie pop,pop
878,slowcore,delete
879,jazz rap,delete
880,geek rock,rock
881,diva house,dance
882,truck-driving country,country
883,bachata,latin
884,salsa choke,latin
885,progressive jazz fusion,delete
886,puerto rican pop,latin
887,chicano rap,latin
888,latin hip hop,latin
889,tejano,latin
890,german techno,delete
891,italo house,dance
892,cumbia sonidera,delete
893,chilean hardcore,delete
894,chilean rock,delete
895,ska chileno,ska
896,shatta,delete
897,san diego indie,indie
898,christian relaxative,delete
899,classic praise,delete
900,ska mexicano,ska
901,classic house,dance
902,vocal house,dance
903,neo mellow,delete
904,philly rap,delete
905,indietronica,indie
906,panamanian pop,delete
907,modern power pop,pop
908,tex-mex,delete
909,flint hip hop,rap/hiphop
910,brazilian punk,delete
911,post-grunge,rock
912,deep regional mexican,delete
913,nuevo regional mexicano,delete
914,tempe indie,delete
915,wu fam,delete
916,neurofunk,funk
917,canadian rock,rock
918,banda,delete
919,oxford indie,indie
920,west coast trap,trap
921,hawaiian,delete
922,bubblegum dance,dance
923,dayton indie,indie
924,psychedelic hip hop,rap/hiphop
925,okc indie,indie
926,funana,delete
927,reading indie,indie
928,tecnobanda,delete
929,downtempo,delete
930,bachata dominicana,latin
931,dominican pop,delete
932,modern salsa,ballroom
933,salsa peruana,delete
934,gothic metal,hardcore_rock
935,canadian old school hip hop,rap/hiphop
936,psychedelic punk,rock
937,musica popular colombiana,delete
938,pop r&b,rnb
939,pop punk,rock
940,british comedy,delete
941,ohio hip hop,rap/hiphop
942,alternative r&b,rnb
943,electronica,electro
944,trip hop,rap/hiphop
945,pittsburgh rock,rock
946,champeta,delete
947,colombian pop,delete
948,vallenato,delete
949,north carolina metal,hardcore_rock
950,sludge metal,hardcore_rock
951,stoner metal,hardcore_rock
952,chicago rap,rap/hiphop
953,braindance,delete
954,intelligent dance music,dance
955,uk experimental electronic,electro
956,alaska indie,indie
957,australian psych,delete
958,swedish country,delete
959,indie soul,soul
960,boom bap,delete
961,banda carnavalera,delete
962,german pop rock,delete
963,sierreno,delete
964,speed garage,delete
965,scandipop,delete
966,swedish electropop,electro
967,alternative dance,dance
968,house,dance
969,pop dance,dance
970,tropical house,dance
971,underground rap,rap/hiphop
972,sheffield indie,rock
973,indie punk,rock
974,experimental vocal,delete
975,icelandic experimental,delete
976,metropopolis,delete
977,louisiana metal,hardcore_rock
978,southern metal,hardcore_rock
979,rap kreyol,delete
