,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
64,0.788,0.523,3,-8.514,0,0.0668,0.792,0.0,0.105,0.443,129.995,4,2
65,0.861,0.656,4,-7.867,0,0.425,0.104,0.0,0.0986,0.331,88.967,4,2
66,0.671,0.644,9,-5.126,0,0.421,0.317,0.0,0.105,0.555,171.73,4,2
67,0.665,0.63,6,-6.215,0,0.0332,0.128,0.0,0.295,0.178,92.039,4,2
68,0.814,0.679,2,-6.005,1,0.181,0.195,0.0,0.375,0.397,141.956,4,2
69,0.742,0.536,11,-6.961,0,0.316,0.257,1.13e-05,0.098,0.705,154.889,4,2
70,0.598,0.791,4,-8.524,0,0.315,0.867,0.0,0.127,0.508,78.666,4,2
71,0.787,0.72,7,-7.569,1,0.251,0.222,0.0,0.633,0.538,121.003,4,2
72,0.848,0.758,2,-6.866,1,0.31,0.252,0.0,0.363,0.816,143.032,4,2
73,0.886,0.534,5,-10.407,0,0.302,0.0848,0.0,0.0848,0.611,98.856,4,2
74,0.74,0.919,1,-2.307,0,0.366,0.422,3.93e-05,0.162,0.398,102.029,4,2
75,0.625,0.624,9,-8.391,1,0.14,0.179,7.15e-05,0.22,0.394,150.005,4,2
76,0.852,0.659,7,-5.548,1,0.19,0.00425,2.23e-06,0.1,0.193,105.016,4,2
77,0.846,0.599,8,-9.675,0,0.0526,0.000294,4.53e-05,0.121,0.111,100.07,4,2
78,0.898,0.586,8,-7.416,1,0.276,0.001,0.0,0.115,0.499,149.998,4,2
79,0.868,0.638,2,-7.746,1,0.0736,0.146,0.0565,0.0931,0.459,126.03,4,2
80,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,4,2
81,0.755,0.512,5,-8.41,1,0.0748,0.294,0.0,0.0991,0.692,139.982,4,2
82,0.868,0.795,11,-6.044,1,0.269,0.0012,0.0193,0.0461,0.819,166.0,4,2
83,0.749,0.723,5,-4.15,1,0.0612,0.00614,0.0012,0.191,0.416,139.933,4,2
84,0.933,0.526,8,-6.398,1,0.244,0.00879,3.86e-05,0.276,0.833,131.99,4,2
85,0.591,0.855,11,-8.339,0,0.339,0.00832,5.87e-05,0.771,0.78,136.734,4,2
86,0.9,0.487,8,-12.087,1,0.449,0.0165,0.0,0.443,0.644,120.022,4,2
