kmeans_labels,acousticness,danceability,instrumentalness,key,liveness,mode,speechiness,tempo,time_signature,valence,EAL
0,0.8810870823714384,0.3594572368649119,0.4776347278337725,0.46915173017555173,0.16765312696810333,0.0,0.03306570431683732,0.3526620365441858,0.6842625443487076,0.2727661753637732,0.7794012360263896
1,0.12310665760843785,0.5684715089593538,0.025404741417687574,0.43005455558871053,0.22147352034272985,1.0,0.0866878937101117,0.4249677812101978,0.7375828327243451,0.5571095591911407,0.7273069496983168
2,0.19598879415669418,0.5907154740733914,0.028650898305329832,0.5666756862152118,0.21648943832586443,0.0,0.10273497309561502,0.415884316494654,0.737087455134378,0.5565896219235809,0.7271866450835234
3,0.9104191029692428,0.31901816055628546,0.8167511353389858,0.4366781543815037,0.15274521309836137,1.0,0.02793167502733536,0.34622123719547654,0.6834974236290026,0.2572597444670519,0.7873004102154464
4,0.06956953829229827,0.5827573510327821,0.7657535072376335,0.6031189414245003,0.18193995429476068,0.0,0.05245282698344461,0.44115855896216727,0.7343841044167346,0.39778538633673227,0.6894565183460303
5,0.0669607763754434,0.5569141772931486,0.7690590661311042,0.42891963698112595,0.19122036800487832,1.0,0.05311915579292664,0.440952360089827,0.7356778979354723,0.388551006278425,0.6917881698979262
6,0.7624599897695927,0.47839342051310957,0.03341461559712061,0.45760964352304645,0.2024016781282026,1.0,0.05061400184640815,0.3850862114114635,0.698182203614394,0.43672186665711177,0.7638825082459691
